"","id","fsecurity","fexpend","hhsize","female","kids","elderly","black","hispanic","education","employed","married","disability","weight"
"507",20191102418400,NA,NA,4,3,2,0,0,0,0,2,2,0,9190.3452
"508",20191202349800,0,143.333333333333,3,2,0,1,0,0,1,2,2,1,7197.7236
"509",20191202351000,0,18,5,3,1,0,0,5,0,2,2,0,12486.526
"510",20191202355300,0,160,1,1,0,1,0,0,0,1,0,0,2291.5357
"511",20191202355500,0,1.33333333333333,3,1,1,0,0,0,2,0,0,0,6633.0798
"512",20191202355800,3,40,1,1,0,0,0,1,0,0,0,1,2199.6458
"513",20191202355900,NA,NA,1,0,0,1,0,0,0,1,0,1,2154.0549
"514",20191202356200,NA,NA,1,0,0,0,0,1,1,1,0,0,2153.4597
"515",20191202357100,0,55,2,1,0,2,0,0,0,0,2,0,4190.9328
"516",20191202357400,NA,NA,3,1,1,2,0,0,0,0,2,1,6696.2352
"517",20191202357500,0,170,2,1,0,1,0,0,0,0,2,0,4541.0368
"518",20191202357600,0,25,2,1,0,1,0,2,1,1,0,0,4078.4636
"519",20191202357700,7,80,1,1,0,1,0,0,0,1,0,1,2095.4664
"520",20191202359200,6,60,1,1,0,1,0,0,0,1,0,1,2095.4664
"521",20191202359600,0,73.3333333333333,6,3,3,0,2,0,2,3,2,1,12826.7706
"522",20191202360400,0,100,3,2,1,0,0,0,1,2,0,0,6407.523
"523",20191202360600,1,40,2,1,0,0,0,0,0,2,2,0,4582.2598
"524",20191202361100,7,0,3,1,2,0,0,0,0,1,0,0,6435.705
"525",20191202361500,0,50,2,1,0,2,0,0,0,0,2,0,4304.7226
"526",20191202362300,0,130,2,1,0,0,0,0,2,1,2,0,4459.309
"527",20191202362400,0,260,2,1,0,0,0,0,1,1,2,1,4582.2598
"528",20191202363300,NA,NA,3,2,1,0,0,1,0,2,0,0,6021.4131
"529",20191202363500,0,87.5,4,2,2,0,0,0,2,3,2,0,8374.6396
"530",20191202364200,0,0,2,1,0,2,0,0,0,0,2,0,4371.9934
"531",20191202364600,0,30,2,1,0,1,0,0,1,1,2,0,4371.9934
"532",20191202364900,NA,NA,4,2,1,0,0,0,1,2,2,0,8975.3164
"533",20191202365000,0,65,2,1,0,0,0,0,0,2,2,0,4487.6582
"534",20191202365400,0,45,2,1,0,2,0,0,0,0,2,0,4193.2504
"535",20191202365600,0,40,5,1,3,0,0,0,2,2,2,0,10504.7315
"536",20191202366200,NA,NA,2,1,0,0,0,0,0,1,2,0,4447.6628
"537",20191202370700,NA,NA,2,1,0,1,0,1,1,1,2,1,4367.2458
"538",20191202371200,NA,NA,7,3,6,0,0,0,1,1,1,1,14706.6241
"539",20191202371800,0,50,1,1,0,0,0,0,0,1,0,0,2183.6229
"540",20191202372000,0,115,2,2,0,0,0,0,1,2,0,0,4487.6582
"541",20191202372400,NA,NA,4,2,1,0,0,0,2,3,2,0,8374.6396
"542",20191202373100,0,60,2,1,0,0,0,0,2,1,2,0,4367.2458
"543",20191202374400,NA,NA,2,1,0,0,0,0,1,2,2,0,4367.2458
"544",20191202376700,0,105,4,3,2,0,0,4,0,2,2,0,7864.6312
"545",20191202376800,0,75,2,1,0,2,0,0,0,0,2,1,4371.9934
"546",20191202378700,NA,NA,6,3,4,0,0,0,1,2,2,0,11725.6608
